,org,count
0,DoD,41740
1,State,13277
2,U.S.C.,9858
3,Congress,8561
4,Defense,6761
5,Pub,4984
6,the Department of Defense,4669
7,DoD Components,3909
8,Treasury,3849
9,Senate,3436
10,the Joint Chiefs of Staff,3351
11,USAF,3302
12,Army,2882
13,OSD,2520
14,Department,2495
15,Navy,2487
16,USDPR,2377
17,SEC,2236
18,the Federal Government,1709
19,the Coast Guard,1624
20,the House of Representatives,1586
21,NAF,1581
22,Code,1561
23,Military Department,1537
24,DOD,1536
25,USDP,1535
26,CCMD,1444
27,DNI,1348
28,the Military Services,1336
29,NATO,1277
30,USDI,1251
31,CFR,1228
32,USDATL,1169
33,DCIPS,1158
34,Federal,1093
35,SCI,1071
36,Defense for Personnel and Readiness,1018
37,House,1018
38,FMS,1005
39,Council,985
40,USG,973
41,The Public Health and Welfare,967
42,MTF,958
43,the Armed Forces,932
44,NAFI,919
45,DEMIL,918
46,ASDHA,907
47,the Department of Defense the Defense Agencies,895
48,CCDR,862
49,CJCS,856
50,FOIA,853
51,Transportation,825
52,the DoD Issuances Website,824
53,Joint,817
54,Homeland Security,811
55,SAP,809
56,the Postal Service,808
57,National Guard,805
58,DLA Energy,787
59,CI,777
60,the U.S. Government,766
61,Par,757
62,Sec,750
63,JTF,734
64,Coast Guard,732
65,IC,731
66,Air Force,727
67,Military Service,725
68,DSS,721
69,OPM,713
70,the Office of Management and Budget,712
71,COMSEC,711
72,the Air Force,708
73,DFAS,691
74,ASDMRA,690
75,the Federal Register,688
76,USMC,676
77,OSD the Military Departments,674
78,GSA,671
79,USN,655
80,RC,653
81,CSA,648
82,the Department of Homeland Security,642
83,DISA,638
84,JS,632
85,USPS,630
86,Health and Human Services,613
87,Labor,610
88,DLA Disposition Services,609
89,OPSEC,602
90,II,600
91,DoDI,594
92,Marine Corps,593
93,MDA,572
94,HN,568
95,Federal State,551
96,IG,550
97,Social Security,543
98,Interior,543
99,MHS,541
100,USDAS,539
101,Defense for Acquisition Technology and Logistics,537
102,Office,536
103,Department of Defense,534
104,SES,532
105,USSOCOM,524
106,Pentagon,522
107,USNDUTY,510
108,IAW,504
109,MPO,503
110,PII,502
111,DSCA,500
112,PRB,495
113,DFSP,492
114,WG,490
115,FBI,489
116,CONUS,475
117,the National Guard,464
118,Combatant,459
119,UCMJ,457
120,IO,454
121,OE,451
122,the Military Service,450
123,Commerce,447
124,Agriculture,440
125,DoD Directive,437
126,the Board of Governors,435
127,RD,433
128,SecDef,431
129,CJCSI,429
130,SSR,429
131,ROTC,428
132,Ord,425
133,PHI,425
134,GCA,422
135,Military Services,420
136,the Federal Reserve System,418
137,Defense for Research and Engineering,413
138,ASDHDGS,406
139,AMENDMENT Pub,401
140,UC,401
141,DCO,398
142,XI,396
143,Veterans Affairs,390
144,DTM,388
145,the Department of Justice,387
146,the DoD CIO,384
147,Reserve,383
148,ESC,381
149,a Military Department,380
150,USCG,380
151,the United States Government,378
152,Federal Government,376
153,GEOINT,374
154,Defense for Health Affairs,373
155,OMB,368
156,DHA,367
157,AAE,355
158,The Military Department,350
159,DCMO,345
160,the Federal Emergency Management Agency,344
161,Departments,343
162,nonFederal,343
163,Defense for Acquisition and Sustainment,339
164,Bank,339
165,FCC,339
166,SAAC,337
167,the Department of State,336
168,Congressional,335
169,Defense for Intelligence,334
